state,year,race,deaths,population
North Dakota,2023.0,Black or African American,0.0,29447.0
North Dakota,2023.0,White,0.0,677695.0
Ohio,2021.0,Black or African American,27.0,1560246.0
Ohio,2021.0,White,47.0,9560342.0
Ohio,2022.0,Black or African American,16.0,1565976.0
Ohio,2022.0,White,39.0,9509945.0
Ohio,2023.0,Black or African American,12.0,1582177.0
Ohio,2023.0,White,22.0,9502944.0
Oklahoma,2021.0,Black or African American,,312869.0
Oklahoma,2021.0,White,12.0,2917360.0
Oklahoma,2022.0,Black or African American,,318339.0
Oklahoma,2022.0,White,11.0,2936122.0
Oklahoma,2023.0,Black or African American,,321327.0
Oklahoma,2023.0,White,,2954232.0
Oregon,2021.0,Black or African American,,96520.0
Oregon,2021.0,White,14.0,3659596.0
Oregon,2022.0,Black or African American,,99222.0
Oregon,2022.0,White,14.0,3640385.0
Oregon,2023.0,Black or African American,0.0,101360.0
Oregon,2023.0,White,,3624265.0
Pennsylvania,2021.0,Black or African American,13.0,1586231.0
Pennsylvania,2021.0,White,30.0,10502382.0
Pennsylvania,2022.0,Black or African American,13.0,1582451.0
Pennsylvania,2022.0,White,32.0,10479634.0
Pennsylvania,2023.0,Black or African American,11.0,1588520.0
Pennsylvania,2023.0,White,20.0,10441408.0
Rhode Island,2021.0,Black or African American,0.0,96864.0
Rhode Island,2021.0,White,,910242.0
Rhode Island,2022.0,Black or African American,,99051.0
Rhode Island,2022.0,White,,905102.0
Rhode Island,2023.0,Black or African American,0.0,101424.0
Rhode Island,2023.0,White,,903228.0
South Carolina,2021.0,Black or African American,17.0,1383427.0
South Carolina,2021.0,White,20.0,3561602.0
South Carolina,2022.0,Black or African American,15.0,1386941.0
South Carolina,2022.0,White,,3637779.0
South Carolina,2023.0,Black or African American,,1394802.0
South Carolina,2023.0,White,,3708583.0
South Dakota,2021.0,Black or African American,,22058.0
South Dakota,2021.0,White,,753542.0
South Dakota,2022.0,Black or African American,0.0,23377.0
South Dakota,2022.0,White,,766469.0
South Dakota,2023.0,Black or African American,0.0,24076.0
South Dakota,2023.0,White,0.0,773858.0
Tennessee,2021.0,Black or African American,22.0,1184041.0
Tennessee,2021.0,White,40.0,5457887.0
Tennessee,2022.0,Black or African American,17.0,1180864.0
Tennessee,2022.0,White,29.0,5521401.0
Tennessee,2023.0,Black or African American,17.0,1177596.0
Tennessee,2023.0,White,21.0,5584730.0
Texas,2021.0,Black or African American,50.0,3894860.0
Texas,2021.0,White,155.0,23012250.0
Texas,2022.0,Black or African American,35.0,4020772.0
Texas,2022.0,White,115.0,23242116.0
Texas,2023.0,Black or African American,35.0,4157785.0
Texas,2023.0,White,84.0,23436057.0
Utah,2021.0,Black or African American,,50597.0
Utah,2021.0,White,13.0,3013038.0
Utah,2022.0,Black or African American,0.0,52777.0
