"Notes","State","State Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Iowa","19","2023 ","2023","White","2106-3",Suppressed,2874673,Suppressed
,"Kansas","20","2018","2018","Black or African American","2054-5",Suppressed,178618,Suppressed
,"Kansas","20","2018","2018","White","2106-3",14,2515351,Unreliable
,"Kansas","20","2019","2019","Black or African American","2054-5",Suppressed,178725,Suppressed
,"Kansas","20","2019","2019","White","2106-3",12,2513846,Unreliable
,"Kansas","20","2020","2020","Black or African American","2054-5",Suppressed,179638,Suppressed
,"Kansas","20","2020","2020","White","2106-3",Suppressed,2508194,Suppressed
,"Kansas","20","2021","2021","Black or African American","2054-5",Suppressed,181676,Suppressed
,"Kansas","20","2021","2021","White","2106-3",Suppressed,2522698,Suppressed
,"Kansas","20","2022","2022","Black or African American","2054-5",Suppressed,182656,Suppressed
,"Kansas","20","2022","2022","White","2106-3",Suppressed,2521658,Suppressed
,"Kansas","20","2023 ","2023","Black or African American","2054-5",0,182372,Unreliable
,"Kansas","20","2023 ","2023","White","2106-3",Suppressed,2524491,Suppressed
,"Kentucky","21","2018","2018","Black or African American","2054-5",Suppressed,375972,Suppressed
,"Kentucky","21","2018","2018","White","2106-3",38,3913936,1.0
,"Kentucky","21","2019","2019","Black or African American","2054-5",Suppressed,378479,Suppressed
,"Kentucky","21","2019","2019","White","2106-3",30,3909923,0.8
,"Kentucky","21","2020","2020","Black or African American","2054-5",Suppressed,382113,Suppressed
,"Kentucky","21","2020","2020","White","2106-3",23,3907588,0.6
,"Kentucky","21","2021","2021","Black or African American","2054-5",Suppressed,389241,Suppressed
,"Kentucky","21","2021","2021","White","2106-3",20,3926400,0.5
,"Kentucky","21","2022","2022","Black or African American","2054-5",Suppressed,391006,Suppressed
,"Kentucky","21","2022","2022","White","2106-3",11,3920114,Unreliable
,"Kentucky","21","2023 ","2023","Black or African American","2054-5",Suppressed,396045,Suppressed
,"Kentucky","21","2023 ","2023","White","2106-3",20,3922637,0.5
,"Louisiana","22","2018","2018","Black or African American","2054-5",23,1526090,1.5
,"Louisiana","22","2018","2018","White","2106-3",11,2930432,Unreliable
,"Louisiana","22","2019","2019","Black or African American","2054-5",21,1524733,1.4
,"Louisiana","22","2019","2019","White","2106-3",25,2918843,0.9
,"Louisiana","22","2020","2020","Black or African American","2054-5",25,1528900,1.6
,"Louisiana","22","2020","2020","White","2106-3",14,2906906,Unreliable
,"Louisiana","22","2021","2021","Black or African American","2054-5",26,1524944,1.7
,"Louisiana","22","2021","2021","White","2106-3",18,2886564,Unreliable
,"Louisiana","22","2022","2022","Black or African American","2054-5",14,1504750,Unreliable
,"Louisiana","22","2022","2022","White","2106-3",Suppressed,2868945,Suppressed
